"","x"
"316","Tph2"
"317","Trappc12"
"318","Trnau1ap"
"319","Tspan4"
"320","Ttc39a"
"321","Uap1l1"
"322","Ube2m"
"323","Ubr7"
"324","Ubxn1"
"325","Uqcc3"
"326","Urb1"
"327","Uri1"
"328","Usp2"
"329","Vgll4"
"330","Vps37d"
"331","Vwa8"
"332","Wdr19"
"333","Wdr91"
"334","Wnt3"
"335","Wnt9a"
"336","Wwox"
"337","Xpc"
"338","Xylb"
"339","Xylt2"
"340","Yipf2"
"341","Zadh2"
"342","Zbed5"
"343","Zbtb22"
"344","Zdhhc8"
"345","Zfand4"
"346","Zfp13"
"347","Zfp239"
"348","Zfp248"
"349","Zfp459"
"350","Zfp59"
"351","Zfp64"
"352","Zfp768"
"353","Zfp787"
"354","Zfp938"
"355","Zfp94"
"356","Zmat4"
"357","Zranb1"
"358","Zswim7"
"359","Zyx"
