"","x"
"312","Tmem69"
"313","Tnfsf10"
"314","Tril"
"315","Trim24"
"316","Trim45"
"317","Trmt6"
"318","Ttc30b"
"319","Txndc5"
"320","Txnip"
"321","Txnl4b"
"322","Txnrd3"
"323","Ubxn8"
"324","Ufd1"
"325","Ufl1"
"326","Unc119"
"327","Usp30"
"328","Vangl2"
"329","Vmac"
"330","Vsig10l"
"331","Washc3"
"332","Wrn"
"333","Xrcc4"
"334","Yif1a"
"335","Zbtb25"
"336","Zc3h14"
"337","Zc3h6"
"338","Zeb1"
"339","Zfp119a"
"340","Zfp157"
"341","Zfp277"
"342","Zfp346"
"343","Zfp39"
"344","Zfp395"
"345","Zfp518a"
"346","Zfp558"
"347","Zfp580"
"348","Zfp660"
"349","Zfp687"
"350","Zfp688"
"351","Zfp775"
"352","Zfp810"
"353","Zfp839"
"354","Zfp879"
"355","Zfp941"
"356","Zfp984"
"357","Zfp994"
"358","Zfyve19"
"359","Zkscan4"
"360","Znrf3"
"361","Zscan18"
"362","Zscan25"
