"","x"
"1","Ahsa2"
"2","Cacnb1"
"3","Capn15"
"4","Cpsf6"
"5","Dhx15"
"6","Dpf1"
"7","Eif4e3"
"8","Gm34583"
"9","Hdac5"
"10","Mafg"
"11","Mettl3"
"12","Papola"
"13","Ptpn12"
"14","Rbm12b1"
"15","Rnf20"
"16","Sfpq"
"17","Spata2l"
"18","Srf"
"19","Srsf10"
"20","Srsf7"
"21","Tra2a"
"22","Tubgcp4"
"23","Zfhx2"
"24","Zfp397"
