Gene.description
Xkr4
Gm37180
Gm37363
Gm38148
Gm19938
Sox17
Mrpl15
Lypla1
Tcea1
Gm37277
Rgs20
Atp6v1h
Oprk1
Rb1cc1
4732440D04Rik
Gm19026
St18
Pcmtd1
Gm38372
Sntg1
Rrs1
Adhfe1
Vxn
Mybl1
Vcpip1
Sgk3
Mcmdc2
Snhg6
Cops5
Cspp1
Arfgef1
Prex2
A830018L16Rik
Sulf1
Slco5a1
Ncoa2
Gm38120
Tram1
Lactb2
Eya1
Gm9947
Kcnb2
Terf1
Rpl7
Rdh10
Stau2
Ube2w
Eloc
Tmem70
Jph1
Gdap1
Crispld1
Gm28756
Tfap2d
Tfap2b
Mcm3
Paqr8
Efhc1
Tram2
Tmem14a
Kcnq5
Rims1
Ogfrl1
B3gat2
Smap1
Sdhaf4
Fam135a
Col19a1
Gm28439
Gm28437
Gm10925
Gm28661
Gm29216
Lmbrd1
Adgrb3
Gm37331
Gm37211
Gm37862
Gm38286
Gm37880
Gm38260
Gm37628
8030445P17Rik
Gm38198
Gm37077
Gm37895
Gm36952
Gm37602
Phf3
Gm37906
Khdrbs2
Prim2
Rab23
Bag2
Zfp451
Bend6
Dst
Gm37233
Ccdc115
Imp4
Amer3
Arhgef4
Fam168b
Plekhb2
Hs6st1
Uggt1
Arid5a
Kansl3
Lman2l
Cnnm4
Cnnm3
Ankrd39
Sema4c
Cox5b
Actr1b
Zap70
Tmem131
Vwa3b
Inpp4a
Coa5
Unc50
Mgat4a
2010300C02Rik
Gm19863
Tsga10
Gm26805
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Lonrf2
Chst10
Pdcl3
Npas2
Rpl31
Tbc1d8
Cnot11
Rnf149
Creg2
D930019O06Rik
Map4k4
Gm16894
Il1r1
Slc9a4
Slc9a2
Mfsd9
Gm28175
Pantr1
Gm20646
Pou3f3
Dalir
Mrps9
Gpr45
Tgfbrap1
AI597479
Fhl2
Nck2
Ecrg4
Uxs1
Tpp2
Tex30
Poglut2
Bivm
Ercc5
Gulp1
Col3a1
Col5a2
Wdr75
Slc40a1
Dnah7b
Dnah7c
Slc39a10
Gm28151
Tmeff2
Cavin2
Nabp1
Myo1b
Stat1
Gls
Nab1
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Pms1
Ormdl1
Osgepl1
Asnsd1
Dnah7a
Stk17b
Hecw2
Gtf3c3
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Gm10561
Mars2
Plcl1
Gm38056
Satb2
9130024F11Rik
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Aox1
Aox3
Aox4
Gm37607
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Fam126b
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
Als2
Fzd7
Gm973
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Pard3b
Nrp2
Ino80d
Ino80dos
Gm20342
Ndufs1
Eef1b2
Zdbf2
Adam23
Fastkd2
Klf7
Creb1
Mettl21a
Ccnyl1
Fzd5
Plekhm3
D630023F18Rik
Idh1
Pikfyve
Pth2r
Map2
Unc80
Rpe
Kansl1l
Acadl
Lancl1
Erbb4
Ikzf2
Vwc2l
Atic
Fn1
Mreg
Gm25360
Gm25939
Pecr
Tmem169
Xrcc5
Marchf4
Smarcal1
Rpl37a
Igfbp2
Igfbp5
Tns1
Arpc2
Aamp
Pnkd
Tmbim1
Gm29358
Catip
Ctdsp1
Usp37
Cnot9
Plcd4
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cyp27a1
Wnt6
Wnt10a
Cdk5r2
Cfap65
Cnppd1
Retreg2
Zfand2b
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
Dnajb2
Ptprn
Resp18
Dnpep
Des
Speg
Gmppa
Asic4
Chpf
Obsl1
Tmem198
Inha
Stk11ip
Slc4a3
Epha4
Sgpp2
Farsb
Acsl3
Utp14b
Scg2
Ap1s3
Wdfy1
Mrpl44
Serpine2
Cul3
Dock10
Nyap2
Irs1
Rhbdd1
Col4a4
Mff
Agfg1
Slc19a3
Sphkap
Pid1
Dner
Trip12
Gm37738
Fbxo36
Slc16a14
Sp100
Cab39
Itm2c
4933407L21Rik
2810459M11Rik
Psmd1
Armc9
Ncl
C130036L24Rik
Ptma
Pde6d
Cops7b
Nppc
Dis3l2
Ecel1
Eif4e2
Efhd1
Gigyf2
Kcnj13
Ngef
Neu2
