"","x"
"316","Inpp5f"
"317","Ip6k2"
"318","Ippk"
"319","Iqca"
"320","Irak1bp1"
"321","Islr2"
"322","Isyna1"
"323","Itga4"
"324","Itgb2"
"325","Itgb5"
"326","Jade3"
"327","Jph4"
"328","Jpt2"
"329","Katnal2"
"330","Kcna4"
"331","Kcnab1"
"332","Kcne1l"
"333","Kcnip2"
"334","Kctd12"
"335","Kdm4b"
"336","Kif26b"
"337","Kirrel3"
"338","Kit"
"339","Klhdc1"
"340","Klhl13"
"341","Klhl2"
"342","Klhl36"
"343","Klhl5"
"344","Klhl6"
"345","Klk8"
"346","Kremen1"
"347","Krt77"
"348","Lamb1"
"349","Laptm5"
"350","Lcp1"
"351","Lhpp"
"352","Limch1"
"353","Limd2"
"354","Lin7c"
"355","Lmo1"
"356","Lmo3"
"357","Lmo7"
"358","Lpar4"
"359","Lpl"
"360","Lrch2"
"361","Lrfn3"
"362","Lrpap1"
"363","Lrrc1"
"364","Lrrc10b"
"365","Lrrc9"
"366","Lrrn2"
"367","Lrrtm4"
"368","Lxn"
"369","Ly6g6e"
"370","Ly6h"
"371","Ly86"
"372","Lyn"
"373","Lypla2"
"374","Macroh2a1"
"375","Mad2l2"
"376","Mafa"
"377","Mageh1"
"378","Magel2"
"379","Man1a"
"380","Man1b1"
"381","Map10"
"382","Map1s"
"383","Map4k4"
"384","Mapk3"
"385","Marchf3"
"386","Marchf4"
"387","Marcksl1"
"388","Mcu"
"389","Mcub"
"390","Mdga1"
"391","Me2"
"392","Med28"
"393","Mei4"
"394","Mgst1"
"395","Mindy4"
"396","Mink1"
"397","Mmd2"
"398","Mmp14"
"399","Mmut"
"400","Mok"
"401","Moxd1"
"402","Mpped2"
"403","Mrpl57"
"404","Mrps33"
"405","Mtg1"
"406","Myo1f"
"407","Myo3b"
"408","Myo5b"
"409","N4bp2"
"410","N4bp2l2"
"411","Naaa"
"412","Nabp1"
"413","Ncdn"
"414","Ndnf"
"415","Ndst4"
"416","Nebl"
"417","Necab2"
"418","Nek6"
"419","Neurl1a"
"420","Nfatc2"
"421","Nfs1"
"422","Nkain2"
"423","Nkain3"
"424","Nmbr"
"425","Nnat"
"426","Nos1"
"427","Npy2r"
"428","Nqo1"
"429","Nr3c2"
"430","Nr4a2"
"431","Nrde2"
"432","Nrp2"
"433","Nrsn2"
"434","Nsg2"
"435","Nsmce1"
"436","Nsmce3"
"437","Nsun7"
"438","Nt5dc1"
"439","Ntng2"
"440","Nts"
"441","Nudt10"
"442","Olfm4"
"443","Olfml3"
"444","Orai2"
"445","Oxtr"
"446","P2ry1"
"447","P2ry12"
"448","P2ry13"
"449","Pabpc1"
"450","Pak4"
"451","Papss2"
"452","Pard3"
"453","Pard6g"
"454","Parp11"
"455","Parvb"
"456","Parvg"
"457","Pcbd1"
"458","Pcdhb6"
"459","Pcsk5"
"460","Pde1c"
"461","Pde3a"
"462","Pdgfra"
"463","Pdk4"
"464","Pea15a"
"465","Peak1"
"466","Peli2"
"467","Pex6"
"468","Pfn1"
"469","Pgam2"
"470","Pgm1"
"471","Phc2"
"472","Pigs"
"473","Plce1"
"474","Plcg2"
"475","Plk5"
"476","Plppr1"
"477","Plppr4"
"478","Plxnb1"
"479","Pm20d2"
"480","Pnck"
"481","Pnrc2"
"482","Pomt1"
"483","Pou3f1"
"484","Ppil2"
"485","Ppl"
"486","Ppp1r14b"
"487","Ppp4r4"
"488","Prdm5"
"489","Prkaa1"
"490","Prkd1"
"491","Prokr2"
"492","Prpsap2"
"493","Prrt1"
"494","Prss35"
"495","Psmb6"
"496","Ptk2b"
"497","Ptpn14"
"498","Ptpra"
"499","Ptpre"
"500","Ptpro"
"501","Ptprr"
"502","Pwwp2b"
"503","Pwwp3b"
"504","Qpct"
"505","Qsox2"
"506","Rab3b"
"507","Rab3d"
"508","Rab40b"
"509","Ralgps2"
"510","Rasgef1a"
"511","Rassf9"
"512","Rb1"
"513","Rbm45"
"514","Rcan3"
"515","Rcbtb2"
"516","Rcc2"
"517","Recql"
"518","Rem2"
"519","Rerg"
"520","Rftn1"
"521","Rftn2"
"522","Rfx2"
"523","Rfx3"
"524","Rgs12"
"525","Rgs14"
"526","Rgs8"
"527","Rimkla"
"528","Rin1"
"529","Riox2"
"530","Rlbp1"
"531","Rnase4"
"532","Rnf149"
"533","Rnf5"
"534","Robo1"
"535","Rogdi"
"536","Ror1"
"537","Rpe"
"538","Rpf2"
"539","Rpn2"
"540","Rpp40"
"541","Rps4l"
"542","Rps6ka6"
"543","Ryr3"
"544","Samd14"
"545","Samd5"
"546","Samsn1"
"547","Sash1"
"548","Sbf2"
"549","Scand1"
"550","Scarb1"
"551","Scn3b"
"552","Scube3"
"553","Sec14l3"
"554","Sema5b"
"555","Sema6d"
"556","Senp7"
"557","Sez6"
"558","Sh3bgrl3"
"559","Shb"
"560","Shisa7"
"561","Shisal1"
"562","Skap2"
"563","Slc10a4"
"564","Slc17a8"
"565","Slc25a34"
