"","x"
"1","4921539H07Rik"
"2","Aars2"
"3","Adgrb2"
"4","Cdkn1a"
"5","Chrna5"
"6","Cnot2"
"7","D630003M21Rik"
"8","Elmo2"
"9","Ftsj1"
"10","Gpc1"
"11","Gpd1"
"12","H3c1"
"13","Ifitm10"
"14","Med24"
"15","Mybbp1a"
"16","Pdcd7"
"17","Rab3ip"
"18","Rtn4rl2"
"19","Sebox"
"20","Usp10"
