"","x"
"319","Noc3l"
"320","Nol8"
"321","Nop2"
"322","Nprl2"
"323","Nudt5"
"324","Nufip2"
"325","Nup153"
"326","Nup35"
"327","Nup62"
"328","Nwd1"
"329","Ociad2"
"330","Odad3"
"331","Opa3"
"332","Pag1"
"333","Pank2"
"334","Paqr3"
"335","Paqr8"
"336","Pcgf3"
"337","Pcmtd2"
"338","Pcsk1"
"339","Pcyox1l"
"340","Pde4dip"
"341","Peg3"
"342","Pex13"
"343","Pgam5"
"344","Pglyrp1"
"345","Phospho2"
"346","Pigf"
"347","Pigg"
"348","Pik3cb"
"349","Pik3cd"
"350","Pip5k1a"
"351","Pitpnb"
"352","Pla2g15"
"353","Plau"
"354","Plekha3"
"355","Plekhh2"
"356","Polr2h"
"357","Pot1a"
"358","Pou3f3"
"359","Pphln1"
"360","Ppp4r2"
"361","Ppp4r3a"
"362","Prag1"
"363","Prdm10"
"364","Prdm2"
"365","Prkar2a"
"366","Prkcsh"
"367","Prpf18"
"368","Psen1"
"369","Psmc4"
"370","Ptcd2"
"371","Pygo2"
"372","Qrfpr"
"373","Rab15"
"374","Rab22a"
"375","Rab23"
"376","Rabepk"
"377","Rabif"
"378","Rad51c"
"379","Ranbp2"
"380","Ranbp6"
"381","Ranbp9"
"382","Rbbp5"
"383","Rbm10"
"384","Rbm12b2"
"385","Rbm18"
"386","Rbm27"
"387","Rcor1"
"388","Rilpl1"
"389","Rimbp2"
"390","Rit1"
"391","Rnd3"
"392","Rnf10"
"393","Rnf111"
"394","Rnf19a"
"395","Rnf216"
"396","Rpgrip1l"
"397","Rprml"
"398","Rubcn"
"399","Runx1t1"
"400","Ruvbl2"
"401","Sacm1l"
"402","Sap30bp"
"403","Sdad1"
"404","Sdc4"
"405","Sde2"
"406","Sdf2l1"
"407","Sec24c"
"408","Sema4d"
"409","Sf3a1"
"410","Sh2b1"
"411","Sh3bp5l"
"412","Sh3pxd2b"
"413","Sh3rf3"
"414","Sidt1"
"415","Sik2"
"416","Sike1"
"417","Slc19a3"
"418","Slc25a14"
"419","Slc2a3"
"420","Slc33a1"
"421","Slc35e2"
"422","Slc35f3"
"423","Slc39a14"
"424","Slc46a3"
"425","Smarca5"
"426","Smarcad1"
"427","Smco3"
"428","Smg7"
"429","Smim17"
"430","Snrk"
"431","Snrpb"
"432","Snupn"
"433","Snw1"
"434","Snx14"
"435","Snx25"
"436","Snx3"
"437","Snx9"
"438","Sos1"
"439","Sos2"
"440","Sox18"
"441","Spata2"
"442","Spred1"
"443","Spred2"
"444","Sptlc2"
"445","Srgap2"
"446","Srp68"
"447","Srp72"
"448","Srsf4"
"449","St3gal4"
"450","Stag2"
"451","Stard3"
"452","Stat5b"
"453","Stau1"
"454","Synj2bp"
"455","Syt4"
"456","Syvn1"
"457","Taf12"
"458","Taf2"
"459","Taf3"
"460","Taf5"
"461","Taf7"
"462","Taok2"
"463","Tasor2"
"464","Tbc1d10b"
"465","Tbc1d13"
"466","Tbc1d14"
"467","Tent5a"
"468","Tex10"
"469","Tfg"
"470","Thap1"
"471","Thoc5"
"472","Thop1"
"473","Thrap3"
"474","Timm50"
"475","Tjp1"
"476","Tmco3"
"477","Tmem109"
"478","Tmem168"
"479","Tmem177"
"480","Tmem64"
"481","Tmtc3"
"482","Tnfaip8l1"
"483","Tnfrsf19"
"484","Top1"
"485","Traf6"
"486","Trak1"
"487","Trak2"
"488","Trio"
"489","Trip12"
"490","Ttc26"
"491","Ttc37"
"492","Ttyh3"
"493","Txndc12"
"494","Txndc15"
"495","Txnrd1"
"496","Uba6"
"497","Ubac1"
"498","Ubald2"
"499","Ubap1"
"500","Ubap2"
"501","Ubc"
"502","Ube4a"
"503","Ubfd1"
"504","Ubr2"
"505","Ulk1"
"506","Unc5a"
"507","Usp31"
"508","Usp37"
"509","Usp8"
"510","Utp6"
"511","Vgf"
"512","Virma"
"513","Wac"
"514","Wdr12"
"515","Wipf2"
"516","Wrnip1"
"517","Wwc1"
"518","Xbp1"
"519","Xpo7"
"520","Xrcc2"
"521","Yipf5"
"522","Yod1"
"523","Yy1"
"524","Zbtb11"
"525","Zbtb38"
"526","Zbtb40"
"527","Zbtb7a"
"528","Zdhhc5"
"529","Zfp109"
"530","Zfp141"
"531","Zfp143"
"532","Zfp180"
"533","Zfp24"
"534","Zfp260"
"535","Zfp280d"
"536","Zfp322a"
"537","Zfp398"
"538","Zfp418"
"539","Zfp444"
"540","Zfp52"
"541","Zfp597"
"542","Zfp609"
"543","Zfp654"
"544","Zfp760"
"545","Zfp780b"
"546","Zfp800"
"547","Zfp84"
"548","Zfp944"
"549","Zfyve1"
"550","Zmynd8"
"551","Zrsr1"
"552","Zw10"
